Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-07,2016,4,7,Thursday,14,2016-14,97.11,97.42,95.92,96.16,7525400,90.72,-0.013541085873503667,92.46714285714286,90.80539999999999
2016-04-08,2016,4,8,Friday,14,2016-14,96.63,96.84,95.8,96.42,6982700,90.97,0.002703798462187823,92.27999999999999,90.845
2016-04-11,2016,4,11,Monday,15,2016-15,96.93,97.64,96.2,96.27,5916600,90.83,-0.0015557065217390864,92.13285714285715,90.8968
2016-04-12,2016,4,12,Tuesday,15,2016-15,96.28,97.53,96.07,97.35,6277200,91.84,0.01121830450972472,92.11714285714287,90.92560000000002
2016-04-13,2016,4,13,Wednesday,15,2016-15,98.03,99.81,97.96,99.48,7967400,93.85,0.02187993039823799,92.29571428571428,91.0072
2016-04-14,2016,4,14,Thursday,15,2016-15,99.79,99.87,98.26,98.63,6676200,93.05,-0.00854441976471998,92.39071428571428,91.1112
2016-04-15,2016,4,15,Friday,15,2016-15,98.5,98.89,98.18,98.59,6146800,93.01,-0.0004056086318633412,92.42428571428572,91.17620000000001
2016-04-18,2016,4,18,Monday,16,2016-16,99.6,101.95,99.5,101.48,10665200,95.74,0.02931352637267537,92.64785714285715,91.29039999999999
2016-04-19,2016,4,19,Tuesday,16,2016-16,102.0,103.64,101.93,102.64,10639800,96.84,0.01143062874912859,92.89928571428571,91.45540000000001
2016-04-20,2016,4,20,Wednesday,16,2016-16,103.02,103.48,101.96,103.27,7712000,97.43,0.0061378665808198285,93.16642857142858,91.6658
2016-04-21,2016,4,21,Thursday,16,2016-16,103.36,104.12,102.65,102.91,6824800,97.09,-0.0034857546383935123,93.425,91.86560000000001
2016-04-22,2016,4,22,Friday,16,2016-16,103.06,103.99,102.93,103.77,5731300,97.9,0.008356679701656766,93.76785714285714,92.1472
2016-04-25,2016,4,25,Monday,17,2016-17,103.5,104.62,103.35,104.57,6117100,98.66,0.007709186646325028,94.27857142857142,92.4164
2016-04-26,2016,4,26,Tuesday,17,2016-17,104.58,105.57,104.18,104.89,6452900,98.96,0.0030603159008826264,94.77785714285713,92.6758
2016-04-27,2016,4,27,Wednesday,17,2016-17,105.19,105.6,104.76,105.28,5996100,99.33,0.0037181806133583795,95.39285714285714,92.9092
2016-04-28,2016,4,28,Thursday,17,2016-17,104.54,105.49,103.8,104.03,5658300,98.15,-0.011873120893156397,95.9057142857143,93.0702
2016-04-29,2016,4,29,Friday,17,2016-17,103.95,104.21,102.4,103.26,7006900,97.42,-0.00740160090247044,96.37642857142858,93.22279999999999
